customer_id,join_date,gender,region,age
10227,2024-08-09,F,East,62
10228,2024-02-24,F,North,63
10229,2024-02-26,F,North,27
10230,2023-04-14,F,East,60
10231,2023-09-11,F,South,51
10232,2023-08-15,F,East,43
10233,2023-04-22,F,East,58
10234,2024-05-24,F,West,66
10235,2024-04-17,M,East,20
10236,2023-04-09,M,North,23
10237,2023-06-02,M,East,22
10238,2023-12-04,M,North,22
10239,2023-06-12,F,North,64
10240,2023-06-10,F,North,40
10241,2024-08-02,M,South,66
10242,2024-02-02,F,West,26
10243,2023-10-04,M,North,52
10244,2024-05-18,F,North,37
10245,2024-01-27,M,South,66
10246,2023-05-15,F,North,59
10247,2023-07-14,F,East,52
10248,2024-02-05,M,East,67
10249,2023-02-02,F,West,35
10250,2024-04-04,M,North,34
10251,2024-04-14,M,South,41
10252,2024-01-10,M,East,20
10253,2023-01-22,M,South,49
10254,2023-02-07,F,South,52
10255,2023-08-18,F,East,55
10256,2023-12-31,F,South,30
10257,2024-07-16,M,East,64
10258,2024-03-13,F,South,42
10259,2023-10-10,M,East,26
10260,2023-01-27,F,North,21
10261,2023-08-14,F,West,31
10262,2023-10-04,F,East,54
10263,2023-10-11,M,East,51
10264,2024-04-25,F,West,28
10265,2024-03-28,F,East,58
10266,2024-05-30,M,East,20
10267,2024-06-30,F,South,45
10268,2023-07-11,M,West,46
10269,2023-02-18,F,North,26
10270,2024-05-26,M,East,20
10271,2023-01-17,M,West,42
10272,2023-06-21,F,South,51
10273,2023-08-08,M,North,29
10274,2023-06-07,M,West,59
10275,2024-04-21,M,North,26
10276,2023-02-15,M,North,32
10277,2024-01-08,M,North,57
10278,2024-06-01,M,East,42
10279,2023-04-09,F,East,22
10280,2023-02-06,M,South,28
10281,2023-10-07,M,South,51
10282,2023-12-15,F,West,41
10283,2024-05-11,F,South,32
10284,2023-10-29,F,North,55
10285,2023-06-30,F,North,25
10286,2023-04-09,F,East,22
10287,2023-04-26,F,North,65
10288,2023-07-10,F,West,43
10289,2023-09-10,M,North,35
10290,2023-06-10,M,North,23
10291,2023-09-13,F,West,54
10292,2023-11-19,M,South,65
10293,2023-05-08,M,South,30
10294,2023-01-18,M,West,45
10295,2024-07-19,F,East,22
10296,2024-07-23,F,North,30
10297,2023-11-19,M,West,34
10298,2023-10-15,F,North,67
10299,2023-06-04,M,East,57
10300,2024-05-04,M,North,62
10301,2024-01-21,M,West,49
10302,2023-04-14,M,North,46
10303,2024-01-28,F,South,68
10304,2023-09-03,F,East,20
10305,2023-06-25,F,East,57
10306,2023-02-08,M,East,51
10307,2024-04-21,F,West,57
10308,2024-06-21,M,East,44
10309,2024-02-12,F,South,30
10310,2024-06-08,M,West,62
10311,2024-05-20,M,South,50
10312,2023-02-05,M,North,23
10313,2023-01-20,F,North,41
10314,2023-11-17,F,North,36
10315,2024-05-26,F,North,33
10316,2024-02-04,F,South,57
10317,2024-04-15,M,West,45
10318,2023-05-23,F,West,50
10319,2023-04-02,F,East,65
10320,2023-12-20,M,South,58
10321,2023-02-20,M,North,30
10322,2024-07-28,M,South,60
10323,2023-07-09,F,East,62
10324,2023-05-05,M,East,42
10325,2023-05-30,M,South,59
10326,2023-11-10,M,South,53
10327,2024-07-23,F,South,44
10328,2023-12-08,M,West,55
10329,2023-11-01,F,North,24
10330,2023-02-23,F,South,22
10331,2024-03-19,M,South,60
10332,2023-09-21,M,South,62
10333,2023-02-22,F,East,68
10334,2024-07-25,M,East,48
10335,2023-01-05,M,West,40
10336,2023-04-13,F,North,59
10337,2023-07-15,F,West,27
10338,2023-12-16,M,North,49
10339,2023-02-16,F,East,60
10340,2023-09-26,M,East,47
10341,2024-01-05,M,East,56
10342,2023-04-16,M,West,48
10343,2023-04-30,F,South,35
10344,2023-02-27,M,South,53
10345,2023-12-12,M,East,19
10346,2024-04-18,M,South,31
10347,2023-04-27,F,South,30
10348,2023-05-07,F,West,46
10349,2024-01-28,F,North,29
10350,2023-02-27,F,East,56
10351,2024-05-27,F,East,19
10352,2023-04-06,M,West,49
10353,2023-04-28,F,West,30
10354,2024-07-13,F,South,63
10355,2024-05-02,F,East,44
10356,2023-08-25,M,North,66
10357,2023-09-29,F,West,58
10358,2023-07-08,F,North,34
10359,2024-03-22,M,North,57
10360,2024-08-03,F,East,48
10361,2023-09-04,M,East,51
10362,2023-03-17,M,West,41
10363,2023-06-03,M,East,62
10364,2024-03-10,M,East,52
10365,2023-03-27,M,East,65
10366,2023-10-12,F,North,23
10367,2023-08-08,M,West,36
10368,2023-03-10,M,South,47
10369,2023-02-16,F,North,24
10370,2023-04-04,M,East,27
10371,2024-03-28,F,North,58
10372,2023-07-23,F,East,49
10373,2023-08-06,F,East,51
10374,2024-04-18,M,North,45
10375,2024-03-07,M,West,32
10376,2023-12-07,M,East,47
10377,2024-07-04,F,West,54
10378,2023-10-16,M,South,46
10379,2023-09-11,M,East,39
10380,2023-12-23,M,West,21
10381,2023-01-23,F,West,37
10382,2024-06-05,F,South,49
10383,2023-04-10,M,West,53
10384,2023-06-29,M,West,67
10385,2023-08-11,M,South,21
10386,2024-03-17,M,East,44
10387,2023-11-21,F,West,34
10388,2024-05-30,F,West,29
10389,2023-01-16,F,West,39
10390,2023-12-02,F,North,34
10391,2023-09-15,M,South,27
10392,2024-05-11,M,North,18
10393,2023-06-09,M,South,39
10394,2024-04-19,F,East,43
10395,2024-01-15,M,East,35
10396,2024-06-28,F,West,67
10397,2024-03-02,F,South,31
10398,2023-09-25,M,East,64
10399,2024-07-30,M,South,46
10400,2024-02-21,M,East,29
10401,2023-06-17,F,North,53
10402,2023-02-12,M,East,52
10403,2024-07-09,F,North,69
10404,2023-10-12,M,East,29
10405,2024-02-01,F,West,24
10406,2023-01-12,F,North,46
10407,2023-10-29,M,East,28
10408,2023-09-10,F,West,50
10409,2024-05-13,F,North,23
10410,2023-02-04,M,West,64
10411,2023-03-31,F,South,32
10412,2024-02-22,M,South,49
10413,2023-04-25,F,North,68
10414,2023-07-15,M,East,28
10415,2024-05-15,M,North,40
10416,2024-05-07,F,West,43
10417,2023-03-16,F,East,51
10418,2024-02-17,F,South,63
10419,2024-01-11,F,East,51
10420,2024-02-24,F,South,46
10421,2023-10-04,M,East,21
10422,2024-01-29,F,East,34
10423,2024-04-01,M,East,52
10424,2023-07-11,M,West,30
10425,2023-04-09,F,West,58
10426,2024-07-01,M,North,56
10427,2023-04-06,M,North,32
10428,2023-07-09,M,South,46
10429,2023-02-06,M,West,46
10430,2024-01-04,F,South,28
10431,2024-06-08,M,North,69
10432,2023-10-06,F,South,49
10433,2023-08-05,F,North,19
10434,2023-09-30,M,West,64
10435,2023-03-03,F,East,31
10436,2024-08-18,F,West,37
10437,2023-12-08,F,South,39
10438,2024-02-01,M,South,28
10439,2023-01-19,F,West,44
10440,2023-06-26,F,West,20
10441,2024-01-31,F,North,34
10442,2024-03-20,M,South,61
10443,2023-08-21,F,South,45
10444,2023-03-17,M,West,46
10445,2023-09-22,M,East,38
10446,2024-03-30,M,South,64
10447,2024-01-19,M,East,33
10448,2024-07-17,M,West,54
10449,2024-05-20,M,West,37
10450,2024-01-02,F,North,23
10451,2023-05-24,M,South,36
10452,2023-03-10,F,East,22
10453,2023-04-09,F,North,20
10454,2024-01-31,M,South,18
10455,2023-01-25,F,North,55
10456,2024-04-13,F,West,32
10457,2024-04-28,F,South,51
10458,2024-07-18,F,North,52
10459,2023-05-31,M,North,66
10460,2023-05-24,F,East,42
10461,2024-07-22,M,North,41
10462,2023-02-08,F,South,29
10463,2023-04-19,F,South,35
10464,2023-02-11,M,East,32
10465,2023-07-05,F,South,61
10466,2024-02-02,F,West,33
10467,2023-08-11,F,South,44
10468,2023-05-13,M,South,25
10469,2023-06-12,F,North,63
10470,2023-08-03,M,North,42
10471,2023-08-23,F,South,34
10472,2024-08-10,M,East,46
10473,2023-01-09,M,North,25
10474,2023-03-15,F,East,32
10475,2024-05-06,F,South,44
10476,2023-09-10,M,South,63
10477,2023-08-18,M,West,67
10478,2024-06-02,F,North,69
10479,2023-06-23,M,South,24
10480,2023-06-17,F,West,20
10481,2023-06-19,F,North,46
10482,2024-01-28,F,South,61
10483,2023-07-13,F,South,41
10484,2024-05-31,M,North,20
10485,2023-01-29,F,North,37
10486,2023-06-14,M,North,63
10487,2024-02-26,F,South,32
10488,2023-12-05,M,South,42
10489,2024-05-10,F,West,47
10490,2023-12-31,M,East,31
10491,2023-12-08,M,North,24
10492,2024-05-14,F,South,34
10493,2024-05-25,F,South,61
10494,2023-11-23,F,North,37
10495,2023-08-05,F,East,53
10496,2023-10-28,M,North,26
10497,2023-05-12,F,East,55
10498,2023-03-11,M,South,65
10499,2023-09-09,M,East,39
