customer_id,ticket_date,response_hours
10121,2024-01-22,5.34
10010,2024-03-24,5.54
10010,2024-04-14,4.04
10451,2024-04-13,2.02
10451,2024-02-04,11.78
10451,2024-02-18,20.76
10451,2024-01-08,1.55
10252,2024-04-24,25.58
10478,2024-02-22,3.9
10478,2024-04-01,5.19
10284,2024-03-12,4.09
10284,2024-03-03,2.0
10284,2024-03-05,5.54
10330,2024-03-02,3.59
10462,2024-01-26,24.13
10261,2024-01-23,27.61
10261,2024-02-25,0.31
10261,2024-01-05,5.36
10270,2024-01-14,1.04
10270,2024-01-22,21.96
10206,2024-02-01,6.4
10206,2024-02-29,14.4
10065,2024-03-20,2.87
10427,2024-03-06,26.31
10427,2024-04-13,0.2
10427,2024-01-04,0.52
10427,2024-03-24,3.11
10427,2024-03-04,19.29
10146,2024-02-02,29.72
10141,2024-04-10,1.77
10205,2024-01-07,9.64
10205,2024-02-01,11.51
10472,2024-02-15,1.91
10393,2024-02-13,7.45
10396,2024-02-14,73.81
10396,2024-01-21,8.3
10396,2024-03-01,2.5
10133,2024-01-05,0.07
10133,2024-01-07,7.29
10133,2024-01-08,2.64
10453,2024-04-24,11.5
10453,2024-04-20,0.51
10453,2024-03-07,20.37
10122,2024-02-19,8.11
10408,2024-02-06,0.22
10131,2024-02-15,9.04
10490,2024-01-13,16.38
10490,2024-02-26,18.77
10490,2024-01-20,30.11
10291,2024-02-15,7.72
10256,2024-03-04,4.2
10256,2024-03-15,3.64
10322,2024-03-01,13.96
10322,2024-01-04,7.2
10119,2024-03-08,2.9
10119,2024-02-10,7.21
10380,2024-04-20,0.22
10245,2024-02-03,5.1
10245,2024-01-27,24.76
10245,2024-01-21,12.67
10245,2024-03-09,7.79
10232,2024-04-05,6.79
10232,2024-01-25,15.62
10232,2024-01-16,5.22
10232,2024-02-24,12.09
10232,2024-03-30,5.69
10232,2024-04-11,13.37
10006,2024-01-09,0.69
10006,2024-02-22,6.47
10006,2024-02-12,0.55
10299,2024-03-27,4.99
10154,2024-02-07,6.52
10279,2024-04-12,3.15
10279,2024-03-16,12.97
10279,2024-02-11,48.22
10494,2024-01-28,5.96
10494,2024-04-18,3.94
10494,2024-02-23,17.68
10494,2024-01-02,0.78
10004,2024-03-12,8.9
10004,2024-02-28,8.05
10004,2024-03-11,4.53
10004,2024-04-19,1.56
10004,2024-02-20,5.47
10004,2024-02-29,25.77
10004,2024-02-09,19.81
10004,2024-04-16,7.61
10448,2024-02-28,41.25
10448,2024-02-04,3.49
10411,2024-03-04,19.26
10197,2024-02-07,56.42
10048,2024-04-06,6.4
10048,2024-01-09,34.4
10048,2024-01-02,11.49
10231,2024-02-12,3.59
10231,2024-04-19,16.34
10231,2024-04-25,10.01
10231,2024-02-04,0.42
10063,2024-01-05,29.1
10248,2024-04-27,2.74
10248,2024-02-27,0.95
10248,2024-02-02,59.6
10101,2024-02-25,7.56
10101,2024-01-25,11.89
10177,2024-04-23,24.94
10177,2024-04-05,4.35
10177,2024-04-29,15.42
10177,2024-03-13,3.71
10177,2024-04-19,7.85
10182,2024-02-17,0.13
10182,2024-01-30,10.71
10229,2024-04-29,5.22
10046,2024-04-04,56.11
10046,2024-01-06,2.93
10046,2024-03-02,20.08
10046,2024-02-21,8.47
10075,2024-03-25,5.85
10099,2024-01-28,4.78
10099,2024-04-15,5.03
10099,2024-01-24,5.81
10099,2024-01-07,2.79
10137,2024-04-13,4.72
10137,2024-04-26,15.23
10137,2024-02-03,7.81
10480,2024-03-13,5.87
10480,2024-01-09,6.19
10480,2024-01-05,2.46
10269,2024-04-20,0.4
10269,2024-04-11,17.23
10269,2024-03-16,1.39
10114,2024-04-13,5.99
10114,2024-02-27,0.69
10114,2024-02-17,50.97
10436,2024-04-02,4.42
10436,2024-02-25,0.53
10446,2024-04-21,12.83
10446,2024-04-17,8.34
10446,2024-01-15,11.31
10498,2024-03-01,3.52
10498,2024-04-28,19.81
10100,2024-02-07,12.7
10100,2024-04-24,14.04
10003,2024-03-19,0.47
10003,2024-04-22,3.0
10134,2024-01-23,0.93
10134,2024-03-30,4.81
10343,2024-04-23,2.07
10343,2024-02-03,10.73
10343,2024-01-07,21.22
10289,2024-01-11,1.24
10050,2024-02-25,14.93
10381,2024-02-28,11.83
10381,2024-04-09,8.41
10339,2024-01-29,1.53
10339,2024-02-11,11.33
10339,2024-04-29,10.03
10116,2024-03-30,20.9
10344,2024-03-01,2.87
10457,2024-04-07,7.43
10085,2024-03-17,5.51
10028,2024-04-09,0.67
10021,2024-01-05,4.05
10021,2024-04-29,5.5
10397,2024-01-10,2.93
10397,2024-04-08,2.28
10292,2024-02-23,5.24
10292,2024-02-06,18.23
10128,2024-03-22,1.18
10128,2024-01-02,6.24
10128,2024-01-21,22.28
10022,2024-01-24,22.21
10022,2024-04-14,6.75
10022,2024-02-12,13.73
10078,2024-04-09,1.75
10078,2024-04-21,5.39
10340,2024-04-01,7.66
10340,2024-04-05,1.83
10340,2024-01-06,6.31
10340,2024-03-01,7.77
10215,2024-03-17,27.72
10241,2024-02-02,16.53
10095,2024-03-06,2.31
10095,2024-01-19,9.12
10238,2024-01-07,7.11
10238,2024-03-28,3.0
10238,2024-01-18,4.96
10238,2024-04-18,9.05
10124,2024-02-16,19.59
10124,2024-01-11,3.71
10287,2024-02-02,15.5
10287,2024-02-20,44.67
10287,2024-01-04,19.6
10287,2024-01-08,6.37
10287,2024-01-24,46.0
10366,2024-01-28,6.7
10366,2024-01-13,32.58
10068,2024-03-05,5.16
10068,2024-01-26,16.96
10463,2024-02-02,8.89
10132,2024-04-27,11.95
10132,2024-02-22,4.12
10132,2024-02-23,1.68
10132,2024-02-04,6.45
10083,2024-01-30,11.59
10083,2024-04-16,1.69
10083,2024-02-19,3.83
10293,2024-04-13,2.43
10293,2024-04-23,6.72
10293,2024-01-31,1.19
10293,2024-03-25,1.17
10293,2024-02-14,20.18
10135,2024-03-14,10.03
10135,2024-04-10,9.51
10135,2024-01-12,20.38
10164,2024-03-08,15.25
10164,2024-03-02,11.31
10375,2024-03-27,8.31
10059,2024-02-24,24.48
10496,2024-01-15,13.11
10496,2024-03-15,10.22
10031,2024-02-16,6.7
10031,2024-01-14,3.12
10196,2024-03-15,9.33
10194,2024-04-07,8.64
10194,2024-03-27,11.81
10239,2024-03-05,4.53
10239,2024-03-13,11.99
10239,2024-04-03,0.23
10044,2024-01-12,9.04
10044,2024-03-30,11.64
10044,2024-04-08,2.29
10449,2024-04-15,0.1
10449,2024-01-02,15.74
10346,2024-04-13,2.19
10430,2024-04-03,12.49
10430,2024-02-02,2.0
10430,2024-02-08,11.54
10430,2024-02-06,38.08
10470,2024-01-14,0.69
10470,2024-04-09,9.91
10470,2024-01-15,11.4
10286,2024-04-11,23.22
10286,2024-03-30,2.7
10286,2024-03-31,36.02
10286,2024-03-28,6.04
10384,2024-04-09,0.67
10384,2024-03-09,18.64
10173,2024-01-02,12.07
10173,2024-04-27,18.09
10385,2024-03-11,0.9
10385,2024-02-26,4.28
10172,2024-03-15,4.33
10172,2024-01-27,19.91
10158,2024-02-29,6.66
10260,2024-03-26,60.01
10260,2024-01-01,1.74
10242,2024-02-02,3.26
10242,2024-02-16,18.54
10493,2024-04-01,7.82
10285,2024-03-23,8.02
10150,2024-01-05,0.25
10150,2024-04-16,0.36
10076,2024-01-14,4.38
10458,2024-02-05,7.87
10458,2024-01-29,14.98
10458,2024-01-16,8.73
10091,2024-01-13,13.79
10091,2024-01-05,11.66
10136,2024-01-08,31.31
10477,2024-04-11,2.0
10108,2024-04-20,6.2
10108,2024-01-19,12.27
10108,2024-03-21,8.2
10108,2024-01-04,9.73
10108,2024-03-30,11.85
10483,2024-04-07,10.65
10483,2024-01-24,25.93
10404,2024-01-08,6.3
10325,2024-01-03,9.57
10325,2024-04-19,1.66
10325,2024-04-09,12.46
10064,2024-01-03,2.13
10064,2024-03-20,3.79
10092,2024-02-21,12.02
10092,2024-02-03,0.29
10329,2024-04-21,3.38
10329,2024-01-14,2.13
10329,2024-03-19,3.51
10036,2024-01-19,2.92
10036,2024-02-13,0.35
10111,2024-03-21,15.93
10111,2024-03-27,9.27
10111,2024-01-12,2.95
10111,2024-03-29,10.63
10111,2024-04-25,8.69
10351,2024-01-24,1.19
10351,2024-01-09,6.38
10351,2024-01-14,9.62
10351,2024-03-10,0.01
10407,2024-01-13,10.38
10392,2024-02-10,17.44
10392,2024-03-22,0.64
10392,2024-01-02,1.01
10392,2024-03-25,9.04
10216,2024-02-06,14.62
10216,2024-02-11,17.47
10149,2024-04-15,2.85
10149,2024-03-24,2.79
10365,2024-04-12,10.39
10486,2024-01-07,4.8
10486,2024-04-16,6.95
10283,2024-02-27,4.26
10283,2024-01-01,6.39
10001,2024-02-29,7.13
10332,2024-02-24,1.53
10332,2024-04-17,21.83
10332,2024-04-12,0.67
10426,2024-01-08,0.49
10426,2024-04-10,3.73
10019,2024-04-19,1.27
10019,2024-03-07,3.4
10019,2024-02-13,14.68
10034,2024-02-24,6.72
10034,2024-03-10,6.55
10034,2024-03-23,0.87
10034,2024-04-08,2.58
10034,2024-02-02,6.63
10445,2024-01-15,2.76
